QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150714_002077	There's no hope at all. Ah... my lovely Ridell. {nl}The kingdom soldiers did not keep their word. We're all going to die.	หมดสิ้นความหวัง...Ridell ที่รักของข้า{nl}ทหารราชอาณาจักร์ไม่รักษาคำพูด พวกเรากำลังจะตาย
QUEST_20150714_002078	Those soldiers of the Royal Army! Especially Premier Eminent! {nl}They're no different from demons. Even the goddesses would not forgive them.	ทหารของทัพหลวง! โดยเฉพาะอย่างยิ่งองคมนตรี{nl}พวกเขาไม่ได้ต่างจากพวกปีศาจเลย แม้ว่าเทพธิดาจะไม่ยกโทษให้พวกเขา
QUEST_20150714_002079	I don't want to die. {nl}We were just following the goddesses' words. {nl}Everyone is killing each other in the names of the goddesses. {nl}Who has deceived us? {nl}	ข้าต้องไม่ตาย{nl}พวกเราแค่ทำตามคำสอนของเทพธิดา{nl}ทุกคนที่ถูกฆ่าด้วยนามของเทพธิดาองค์อื่นๆ{nl}ใครกันที่หลอกลวง
QUEST_20150714_002080	Royal Army Recruit Propaganda	การชวนเชื่อของกองทัพหลวง
QUEST_20150714_002081	The Royal Army needs competent people like you! {nl}Loyalty to the kingdom! To victory and a brighter future!	กองทัพหลวงต้องการอาสาสมัครเฉกเช่นเจ้า{nl}ซื่อสัตย์ต่อราชอาณาจักร! เราต้องชนะเพื่ออนาคตที่สว่างไสว
QUEST_20150714_002082	Pledge loyalty to the Royal Army and become a new and better person. {nl}The goddesses protect our armies.	จงรักภักดีต่อกองทัพหลวงและเข้ามาเป็นทหารที่ดี{nl}เทพธิดาจะปกป้องเจ้า
QUEST_20150714_002083	Life and death... which one would you choose? {nl}The only way to survive is to swear loyalty to the kingdom!	ชีวิตและความตายอยู่ที่เจ้าเลือก?{nl}ทางเดียวที่จะอยู่รอดคือการภักดีต่อราชอาณาจักร!
QUEST_20150714_002084	Don't forget that the Royal Army has won 600 years ago. {nl}Join us. You sins can be forgiven.	ห้ามลืมว่ากองทัพหลวงนั้นเราชนะมากว่า 600 ปีแล้ว {nl}เข้าร่วมกับเราเจ้าบาปนั้นจะยกโทษให้เจ้าเอง
QUEST_20150714_002085	Please move with us if possible. {nl}There's been a number of monster sightings near here.	โปรดเข้ามาร่วมกับเราถ้าเป็นไปได้{nl}มีการปรากฏตัวของสัตว์ประหลาดเป็นจำนวนมากใกล้ที่นี่
QUEST_20150714_002086	The supplies should be here soon... {nl}Are they going to be late again?	เสบียงต้องมาภายเร็วๆนี้...{nl}พวกเขาจะมาไม่ตรงเวลาอีกแล้วเหรอ?
QUEST_20150714_002087	You will need various tools when traveling. {nl}It's better to buy them in advance.	เจ้าต้องการอุปกรณ์ในการเดินทาง{nl}มันต้องดีที่สุดในการซื้อพวกมันมาใช้
QUEST_20150714_002088	"Goddess Laima... Actually, I don't know her that well. No one does, except for her priests. {nl}I heard she's the goddess of fate and foresight, but she has not once appeared before us."	เทพธิดา Laima ข้าไม่รู้อะไรเกี่ยวกับเธเอ ไม่มีใครรู้นอกจากนักบวช{nl}ข้าได้ยินว่านางเป็นเทพธิดาแห่งโชคชะตาและความสุขุมแต่นางนั้นไม่เคยปรากฏมาก่อนหน้านี้เลย
QUEST_20150714_002089	I just remembered something while I was talking to you. {nl}Maybe Goddess Laima knew everything about the disaster beforehand.	ข้าแค่จำได้บางสิ่งที่พูดกับเจ้า{nl}อาจจะเป็นเทพธิดา Laima ที่รู้เกี่ยวกับทุกสิ่งเกี่ยวกับหายนะก่อนหน้านี้
