QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20150317_002585	Talk to Priest Dazine about how to purify the addled Revelators.	พูดคุยกับนักบวช Dazine เกี่ยวกับวิธีการชำระล้างRevelatorที่มึนงง
QUEST_LV_0200_20150317_002586	Purify the addled Revelators	ชำระล้างRevelatorที่มึนงง
QUEST_LV_0200_20150317_002587	"Fight the addled Revelators to subdue them, then use the Austeja's Symbol to purify them."	ต่อสู้กับRevelatorที่มึนงงเพื่อปราบพวกเขาแล้วใช้สัญลักษณ์ของ Austeja ชำระล้างพวกเขา
QUEST_LV_0200_20150317_002588	Purified all the addled Revelators. Talk to Priest Dazine.	ชำระล้างRevelatorที่มึนงงทั้งหมดสำเร็จแล้ว พูดคุยกับ Priest Dazine
QUEST_LV_0200_20150317_002589	"Cured all the addled Revelators. Ask Priest Dazine what to do next. {nl}{nl}With the addled Revelators now purified, talk to Priest Dazine about the seal."	ฟื้นฟูRevelatorที่มึนงงสำเร็จ สอบถาม Priest Dazine ถึงสิ่งที่ต้องทำต่อไป{nl}{nl}พูดคุยกับ Priest Dazine เกี่ยวกับผนึก
QUEST_LV_0200_20150317_002590	Restore the Rankis Seal and the Ranka Seal	ซ่อมแซมผนึกRankis และผนึกRanka
QUEST_LV_0200_20150317_002591	The seal towers that sealed the forces of evil were all destroyed by the monsters. The Symbol of Austeja can restore a little bit of power to the Seal. {nl}{nl}The Seal Towers that sealed the forces of evil were all destroyed by the monsters. The Symbol of Austeja can restore a little bit of power to the Seal.	หอคอยที่ปิดผนึกได้ปิดผนึกพลังแห่งความชั่วร้ายถูกทำลายลงโดนเหล่ามอนสเตอร์ สัญลักษณ์ของ Austeja สามารถฟื้นฟูพลังของผนึกได้เพียงเล็กน้อย{nl}{nl}หอคอยที่ปิดผนึกได้ปิดผนึกพลังแห่งความชั่วร้ายถูกทำลายลงโดนเหล่ามอนสเตอร์ สัญลักษณ์ของ Austeja สามารถฟื้นฟูพลังของผนึกได้เพียงเล็กน้อย
QUEST_LV_0200_20150317_002592	Restore the goddess' powers to Rankis Seal Tower and Ranka Seal Tower	ฟื้นฟูพลังเทพธิดาให้กับหอคอยปิดผนึก Rankis และหอคอยปิดผนึก Ranka
QUEST_LV_0200_20150317_002593	"Restored power to the first destroyed tower. Now, I have to restore power of the other destroyed tower as well."	ทำการฟื้นฟูพลังให้กับหอคอยแรกที่ถูกทำลายสำเร็จ ขณะนี้ฉันจะทำการฟื้นฟูพลังให้กับหอคอยที่ถูกทำลายอื่นๆด้วยเช่นกัน
QUEST_LV_0200_20150317_002594	Goddess Austeja appeared and is trying to tell you something. Listen to what she is saying.	เทพธิดา Austeja ปรากฏตัวขึ้นและพยายามที่จะบอกอะไรบางอย่างกับคุณ จงฟังสิ่งที่เธอจะบอก
QUEST_LV_0200_20150317_002595	Check the Spring Light Woods Altar	ตรวจสอบแท่นบูชา Spring Light Woods
QUEST_LV_0200_20150317_002596	There is a suspicious shadow in Spring Light Woods Altar. Take a close look at it.	มีเงาที่น่าสงสัยในแท่นบูชา Spring Light Woods จงเฝ้าดูมัน
QUEST_LV_0200_20150317_002597	A Chafer was hiding near the altar. Defeat Chafer.	Chafer กำลังซ่อนตัวอยู่ใกล้ๆแท่นบูชา จงปราบมัน
QUEST_LV_0200_20150317_002598	Check the destroyed seal tower	ตรวจสอบหอคอยปิดผนึกที่ถูกทำลาย
QUEST_LV_0200_20150317_002599	Someone destroyed the tower. Check its status.	ใครบางคนได้ทำลายหอคอย จงตรวจสอบสถานะของมัน
QUEST_LV_0200_20150317_002600	Defeat Manticen	ปราบ Manticen
QUEST_LV_0200_20150317_002601	It seems like this Manticen destroyed the tower. Defeat it.	ดูเหมือนว่าManticenได้ทำลายหอคอยนั้น จงปราบมัน
QUEST_LV_0200_20150317_002602	Talk to Merchant Dulke	พูดคุยกับพ่อค้า Dulke
QUEST_LV_0200_20150317_002603	Seems like Merchant Dulke is troubled. {nl}Ask him what's wrong.	ดูเหมือนว่าพ่อค้า Dulke จะพบปัญหา{nl}สอบถามเขาเกี่ยวกับสิ่งที่ผิดปกติไป
QUEST_LV_0200_20150317_002604	Find Merchant Dulke's Package	ค้นหาสัมภาระของพ่อค้า Dulke
QUEST_LV_0200_20150317_002605	Merchant Dulke says that he lost his belongings while running away from the monsters. Find Dulke's belongings for him.	พ่อค้า Dulke กล่าวว่าเขาสูญเสียสมบัติส่วนตัวของเขาในขณะที่วิ่งหนีจากมอนสเตอร์ จงค้นหาสมบัติส่วนตัวของ Dulke
QUEST_LV_0200_20150317_002606	Give the packages to Merchant Dulke	มอบสัมภาระคืนให้กับพ่อค้า Dulke
QUEST_LV_0200_20150317_002607	"Found all Merchant Dulke's packages. Give it to him,."	พบสัมภาระทั้งหมดของพ่อค้า Dulke จงมอบมันให้กับเขา
QUEST_LV_0200_20150317_002608	Find %s	ค้นหา %s
QUEST_LV_0200_20150317_002609	Talk to Villager Emil	พูดคุยกับ Villager Emil
QUEST_LV_0200_20150317_002610	Villager Emil in the Spring Light Woods wants to ask you a favor. Go to Villager Emil.	Villager Emil ในป่า Spring Light ต้องการขอให้คุณช่วย จงไปหา Villager Emil
QUEST_LV_0200_20150317_002611	Defeat the monsters around the village	ปราบมอนสเตอร์ที่อยู่รอบๆหมู่บ้าน
QUEST_LV_0200_20150317_002612	Emils says that it is too dangerous to go to Three Brooks Woods. Defeat the monsters so that the route will be safe.	Emil กล่าวว่ามันอันตรายมากที่จะไปที่ป่า Three Brooks จงปราบมอนสเตอร์เหล่านั้นเพื่อให้เส้นทางดังกล่าวปลอดภัย
QUEST_LV_0200_20150317_002613	Defeated enough monsters. Go back and talk to Emil of Spring Light Woods.	ทำการปราบมอนสเตอร์สำเร็จแล้ว จงกลับไปคุยกับ Emil ที่ป่า Spring Light
QUEST_LV_0200_20150317_002614	Talk to Pharmacist Tiana	พูดคุยกับคนปรุงยา Tiana
QUEST_LV_0200_20150317_002615	Pharmacist Tiana makes medicine using herbs from Spring Light Woods. Talk to her.	คนปรุงยา Tiana ทำยาโดยใช้สมุนไพรจากป่า Spring Light จงพูดคุยกับเธอ
QUEST_LV_0200_20150317_002616	Collect Spring Light Grass	รวบรวมหญ้าSpring Light
QUEST_LV_0200_20150317_002617	Pharmacist Tiana says she needs more Spring Light Grass to make her medicine. Use bee honey jelly to find and collect the elusive Spring Light Grass.	คนปรุงยา Tiana กล่าวว่าเธอต้องการหญ้า Spring Light จำนวนมากเพื่อใช้ทำยาของเธอ จงใช้ bee honey jelly เพื่อค้นหาและรวบรวมหญ้า Spring Light
QUEST_LV_0200_20150317_002618	Give the Spring Light Grass to Pharmacist Tiana	มอบหญ้า Spring Light ในกับคนปรุงยา Tiana
QUEST_LV_0200_20150317_002619	Gathered enough Spring Light Grass. Give it to Tiana.	ทำการรวบรวมหญ้า Spring Light สำเร็จ มอบมันให้กับ Tiana
QUEST_LV_0200_20150317_002620	Talk to Equipment Merchant in Fedimian	พูดคุยกับพ่อค้าอุปกรณ์ใน Fedimian
